index,plant,county,distance,cost,fpfactor,adjusted_cost
143.0_75,9188,48147,191.49269822807688,36.172069635109565,0.942342106,35.65066829591412
143.0_154,9188,48313,320.935326,56.468697980679245,1.008121281,56.58334752168055
143.0_171,9188,48341,767.8119919604485,126.5390431329155,0.919060713,123.9785481507054
143.0_229,9188,48457,291.4083105499761,51.83885641268879,1.002208546,51.8674785374325
143.0_148,9188,48295,652.3743839395531,108.43840451449265,1.023272664,109.06931715273312
143.0_26,9188,48051,401.83641540693634,69.15400399415408,0.981144428,68.82801941880406
143.0_125,9188,48247,832.5231644276126,136.6857671294016,1.058379527,138.68067973756325
143.0_224,9188,48447,480.3743338639456,81.46876435869807,1.071313634,82.92122276967517
143.0_137,9188,48273,747.9711014156358,123.42798776910084,0.981144428,122.846161441552
143.0_210,9188,48419,176.83794639213153,33.87420179487243,0.97560124,33.667579664926265
143.0_86,9188,48169,674.4397379996109,111.89825617528209,1.00368673,112.00139083977936
143.0_129,9188,48255,614.6776534469811,102.52755009330072,1.005904005,102.67888088539787
143.0_195,9188,48389,934.6458239827792,152.69861932767049,1.053944975,154.75795012821192
143.0_114,9188,48225,262.6668226262231,47.33218570820357,1.018099021,47.54635226398074
143.0_72,9188,48141,1156.385437265022,187.4674323360292,1.065400899,190.5325669880287
143.0_33,9188,48065,706.8016885898085,116.97261610583772,0.924234356,114.75698970843183
143.0_163,9188,48325,655.8619579875242,108.98525678022814,0.9656235,108.04862386030176
143.0_243,9188,48485,435.3388794751538,74.40719665226716,0.920169351,72.92220295251188
143.0_36,9188,48071,407.631915,70.06273941854352,0.982622612,69.75836256673878
143.0_65,9188,48129,646.6283977355188,107.5374328,0.906865698,105.03357686432503
143.0_113,9188,48223,142.46663682484916,28.48477399932503,1.046923603,28.81892605599729
143.0_141,9188,48281,462.51556616191607,78.66850622890136,0.920538897,77.10573465982364
143.0_74,9188,48145,359.39301515015546,62.49887086244535,0.97560124,62.1176471248344
143.0_215,9188,48429,451.67624461241314,76.96889857,1.000360816,76.9758414725266
143.0_227,9188,48453,488.2511988065973,82.70385826,1.002208546,82.74952207883618
143.0_197,9188,48393,676.2576266492084,112.18330145696308,1.281954811,120.0909568468766
143.0_54,9188,48107,672.9882875446211,111.67066847133762,0.973014418,110.91729397608059
143.0_133,9188,48265,622.0262158538316,103.67980605885442,1.014773108,104.06272430193606
143.0_250,9188,48499,140.0884659390728,28.111876357782585,0.970058051,27.901445265732825
143.0_120,9188,48237,383.22907131083264,66.23636894517375,1.010338556,66.40756604756784
143.0_155,9188,48315,70.77826069770384,17.24402315854053,0.938277101,16.977935383598464
143.0_96,9188,48189,723.5439826663431,119.597810961468,0.854759722,115.25520613340925
143.0_123,9188,48243,996.3657456636204,162.3763146390637,1.215436544,171.12176265238782
143.0_220,9188,48439,309.16110376456135,54.6224977229508,0.994448082,54.54668281587254
143.0_237,9188,48473,416.3439438935831,71.42878718557066,0.992969898,71.30324927065794
143.0_192,9188,48383,736.8366928392024,121.68211041312335,0.997404449,121.60315238228213
143.0_212,9188,48423,159.16169924149762,31.10256292181437,0.95379803,30.743313002055178
143.0_234,9188,48467,189.3370896991288,35.834069812918024,0.97560124,35.61549309562087
143.0_49,9188,48097,294.12539314827114,52.26489547440637,0.992969898,52.17303858785527
143.0_254,9188,48507,739.1432763405121,122.04378313933634,1.092008206,124.85104052436219
143.0_97,9188,48191,624.7996834535293,104.11468629938182,0.921647535,102.07527572081725
143.0_131,9188,48259,583.0209978895383,97.56378055634497,1.00368673,97.65370338551759
143.0_89,9188,48175,614.7756394452617,102.54291431623422,1.108268226,105.31844917170639
143.0_251,9188,48501,816.7942066654795,134.2194635981878,1.056531797,136.1163804655832
143.0_138,9188,48275,528.3598689394744,88.99290527087449,1.071313634,90.57950713964544
143.0_161,9188,48309,358.4409736992637,62.34959058413924,0.942342106,61.45085406292832
143.0_22,9188,48043,957.4950145063908,156.2813766931603,1.186611962,163.57237027535322
143.0_183,9188,48365,137.57555195480532,27.717850973090165,0.943081198,27.32343425523946
143.0_10,9188,48019,636.2707422757263,105.91335047712252,1.045075873,107.10688466090033
143.0_185,9188,48369,815.9823793555117,134.09216892351267,0.970058051,133.08842370271088
143.0_199,9188,48397,225.53080301779616,41.50925086,0.990013531,41.405618148268346
143.0_228,9188,48455,274.09662258909515,49.12438048905316,0.977818515,48.8519675618151
143.0_18,9188,48035,373.5010682336579,64.71101624,1.009969011,64.87229244817945
143.0_41,9188,48081,629.1575217960058,104.7979961699432,1.045445419,105.98864338151907
143.0_81,9188,48159,110.29815965217324,23.440750736973683,0.98373125,23.34541280858565
143.0_110,9188,48217,326.90814173801243,57.40523661032206,0.966732137,56.92779922356337
143.0_29,9188,48057,596.3352366,99.65145569078408,0.977448969,99.08964492416457
143.0_119,9188,48235,691.0570769250766,114.50385803975642,1.095334119,117.23288914683673
143.0_165,9188,48329,766.4255473263183,126.3216483538908,0.964145316,125.18934265786882
143.0_25,9188,48049,496.8819997223676,84.05716946566191,1.026968123,84.62388548695738
143.0_247,9188,48493,604.0525635516677,100.86153400217977,0.996295811,100.76813145598626
143.0_180,9188,48359,816.4744233174632,134.16932150915918,0.914995708,131.31807946340757
143.0_82,9188,48161,270.5473087872839,48.56784741831994,0.980405337,48.32992976762059
143.0_202,9188,48403,227.3253544559617,41.790636861500126,1.002947638,41.82143277881441
143.0_59,9188,48117,806.6751896659376,132.63279983217114,0.914995708,129.8142105207433
143.0_3,9188,48005,241.8991133395753,44.07580499160007,0.98373125,43.8965404284858
143.0_132,9188,48263,626.0951763018719,104.31781982131304,0.999991271,104.31759217375074
143.0_194,9188,48387,95.53999705063008,21.12666806926887,1.022903118,21.247634712203194
143.0_136,9188,48271,752.0010380030271,124.0598825828805,0.986318071,123.63553795656868
143.0_61,9188,48121,285.3000165517786,50.881074766551066,0.981144428,50.641226824376545
143.0_218,9188,48435,690.9002036972961,114.47926028817754,0.999621725,114.46843412763116
143.0_95,9188,48187,560.4570414548656,94.0257479495716,0.982622612,93.61726747354412
143.0_248,9188,48495,860.2156906281956,141.02796043868454,1.085356379,144.03736944888487
143.0_64,9188,48127,774.1456671736657,127.53216459589795,1.099399124,130.70131095656197
143.0_249,9188,48497,335.17893310260786,58.70209824965728,0.991122168,58.57181140808029
143.0_107,9188,48211,630.9595440449539,105.08055359702244,1.04359769,106.22587094721028
143.0_188,9188,48375,753.9502016494038,124.3655118087117,0.901322509,121.29749264065808
143.0_38,9188,48075,582.0154569651108,97.40611155054052,0.861781095,94.04027003083462
143.0_245,9188,48489,840.6865631,137.96578956919402,0.953058938,136.3467243986824
143.0_11,9188,48021,476.7032857,80.89314332169491,0.985209434,80.59402947788317
143.0_134,9188,48267,626.4017522218793,104.36589098314931,1.004056276,104.4717251978527
143.0_208,9188,48415,643.9627862863197,107.11946442265364,1.017359929,107.58436099687745
143.0_179,9188,48357,696.006639,115.27995029487757,1.001839,115.33295025202564
143.0_99,9188,48195,740.0181371833297,122.18096148380086,1.00368673,122.29357353783365
143.0_104,9188,48205,829.0324971892272,136.13842985082815,0.960449857,134.7923562587292
143.0_31,9188,48061,869.8334198418173,142.53602218572024,0.966362591,141.3373865668467
143.0_158,9188,48321,533.4835755282513,89.79630343,0.982253066,89.39790116239595
143.0_27,9188,48053,483.9839384986762,82.03475104,0.997404449,81.98151969497584
143.0_190,9188,48379,171.46962943283864,33.03244868741266,0.97190578,32.80044346727194
143.0_106,9188,48209,526.8913588309784,88.76264261005623,1.002208546,88.8116517048777
143.0_157,9188,48319,570.3887703488033,95.58304490545426,1.05357543,96.86327058833402
143.0_238,9188,48475,874.9292517199015,143.33504958127008,1.002947638,143.4406745409895
143.0_60,9188,48119,149.9055820568848,29.65120201,1.022164026,29.815499513070222
143.0_178,9188,48355,714.0468279379688,118.1086553163646,0.971536234,117.26820103448969
143.0_30,9188,48059,511.7083485154008,86.38194374099865,1.012555832,86.65309303436001
143.0_14,9188,48027,414.1215347087499,71.08031300799027,0.930886183,69.85215507160603
143.0_37,9188,48073,200.56603510858312,37.59477056206851,0.977448969,37.38282035297274
143.0_71,9188,48139,280.4945784649642,50.127581172012206,0.980405337,49.88202290699452
143.0_152,9188,48303,721.3116408521258,119.24777934573468,0.88395385,115.78821792345418
143.0_222,9188,48443,835.6458130587132,137.17539902123386,1.145222819,142.15564855706222
143.0_53,9188,48105,754.1145388788785,124.3912799171581,1.077595915,126.80434371295635
143.0_7,9188,48013,655.1013471281085,108.86599285461874,0.987426709,108.52379190257747
143.0_69,9188,48135,813.2987504105838,133.6713754009261,0.952319846,132.07800745979912
143.0_21,9188,48041,368.88174065571405,63.98670480382812,0.979666245,63.66143230914353
143.0_4,9188,48007,646.9301744323574,107.58475144126804,0.956384852,106.41167022710451
