index,plant,latitude,longitude,tech,invest,capacity,yield,county,lpfactor,tier,adjusted_investment_cost,electricity_generated_mw,electricity_generated_mwh,electricity_revenue
143,9188,33.385452,-94.061081,1,130956797,38015926,232,48037,0.954015046,Small,2072728.2655182895,8.838577247027741,77425.93668396301,3491909.7444467316
110,9151,31.65,-94.673334,1,130956797,38015926,232,48347,0.956554009,Small,2078244.5101490952,8.838577247027741,77425.93668396301,3491909.7444467316
111,9152,31.598301,-94.656872,1,130956797,38015926,232,48347,0.956554009,Small,2078244.5101490952,8.838577247027741,77425.93668396301,3491909.7444467316
99,9140,30.83268,-94.92369,1,130956797,38015926,232,48373,0.959092971,Small,2083760.752607264,8.838577247027741,77425.93668396301,3491909.7444467316
128,9171,29.901167,-93.959167,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
130,9173,29.873056,-93.993306,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
131,9174,29.95,-94.036389,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
132,9175,29.855953,-94.091568,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
127,9169,29.855953,-94.091568,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
129,9172,29.891389,-93.962778,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
23,9057,29.993334,-94.169167,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
20,9054,30.028925,-94.124053,1,130956797,38015926,232,48245,0.961631933,Small,2089276.9950654325,8.838577247027741,77425.93668396301,3491909.7444467316
49,9087,30.344167,-94.052222,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
134,9177,29.973553,-93.939461,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
133,9176,29.968889,-93.927628,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
24,9059,30.058333,-94.044444,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
22,9056,30.073997,-94.071716,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
113,9154,29.999325,-93.97934,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
21,9055,30.012792,-94.027201,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
19,9053,30.060556,-94.058611,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
115,9156,30.053333,-93.741111,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
116,9158,30.11742,-93.88986,1,130956797,38015926,232,48361,0.96988356,Small,2107204.7841407987,8.838577247027741,77425.93668396301,3491909.7444467316
25,9060,30.508894,-96.709831,1,130956797,38015926,232,48051,0.981943631,Small,2133406.939076055,8.838577247027741,77425.93668396301,3491909.7444467316
139,9184,30.360014,-96.534439,1,130956797,38015926,232,48051,0.981943631,Small,2133406.939076055,8.838577247027741,77425.93668396301,3491909.7444467316
106,9147,32.608353,-94.350929,1,130956797,38015926,232,48203,1.043513464,Small,2267175.8284635083,8.838577247027741,77425.93668396301,3491909.7444467316
156,9204,32.9432789,-95.2688881,1,130956797,38015926,232,48499,1.083502119,Small,2354056.654783893,8.838577247027741,77425.93668396301,3491909.7444467316
102,9143,32.438056,-94.69,1,130956797,38015926,232,48183,1.091119005,Small,2370605.382158398,8.838577247027741,77425.93668396301,3491909.7444467316
104,9145,32.45,-94.832,1,130956797,38015926,232,48183,1.091119005,Small,2370605.382158398,8.838577247027741,77425.93668396301,3491909.7444467316
103,9144,32.449001,-94.745415,1,130956797,38015926,232,48183,1.091119005,Small,2370605.382158398,8.838577247027741,77425.93668396301,3491909.7444467316
8,9040,29.594168,-96.486668,1,130956797,38015926,232,48089,1.097466411,Small,2384395.990476457,8.838577247027741,77425.93668396301,3491909.7444467316
67,9105,33.06805,-96.063988,1,130956797,38015926,232,48231,1.167922612,Small,2537471.7306401376,8.838577247027741,77425.93668396301,3491909.7444467316
50,9088,33.154957,-96.328903,1,130956797,38015926,232,48231,1.167922612,Small,2537471.7306401376,8.838577247027741,77425.93668396301,3491909.7444467316
89,9128,30.671008,-95.589607,1,130956797,38015926,232,48471,1.188234309,Small,2581601.672478123,8.838577247027741,77425.93668396301,3491909.7444467316
154,9202,32.434349,-95.377205,1,130956797,38015926,232,48423,1.278367467,Small,2777428.2949515656,8.838577247027741,77425.93668396301,3491909.7444467316
153,9200,32.465828,-95.175781,1,130956797,38015926,232,48423,1.278367467,Small,2777428.2949515656,8.838577247027741,77425.93668396301,3491909.7444467316
152,9199,32.3625,-95.280556,1,130956797,38015926,232,48423,1.278367467,Small,2777428.2949515656,8.838577247027741,77425.93668396301,3491909.7444467316
3,543,33.760315,-96.559867,1,130956797,152063705,232,48181,1.313278198,Medium,4565242.624173362,35.35430922060766,309703.74877252313,13967639.069640793
138,9183,33.582,-96.536,1,130956797,152063705,232,48181,1.313278198,Medium,4565242.624173362,35.35430922060766,309703.74877252313,13967639.069640793
162,10061,35.002,-101.959,1,130956797,152063705,232,48381,1.32787723,Medium,4615992.057,35.35430922060766,309703.74877252313,13967639.069640793
112,9153,30.407232,-96.095695,1,130956797,152063705,232,48185,1.348823668,Medium,4688806.462351292,35.35430922060766,309703.74877252313,13967639.069640793
2,542,29.676724,-98.635234,1,130956797,152063705,232,48029,1.411028242,Medium,4905043.184376998,35.35430922060766,309703.74877252313,13967639.069640793
5,545,29.688568,-98.562424,1,130956797,152063705,232,48029,1.411028242,Medium,4905043.184376998,35.35430922060766,309703.74877252313,13967639.069640793
4,544,29.53192,-98.286901,1,130956797,152063705,232,48029,1.411028242,Medium,4905043.184376998,35.35430922060766,309703.74877252313,13967639.069640793
80,9119,29.759722,-95.18,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
83,9122,29.79833,-95.34778,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
85,9124,29.879,-95.266,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
86,9125,29.7511265,-95.3518173,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
87,9126,29.646664,-95.405839,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
79,9118,29.827501,-95.243334,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
125,9167,29.730285,-95.17929,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
95,9134,29.726864,-95.095108,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
97,9136,29.743333,-95.100278,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
123,9165,29.731667,-95.154444,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
121,9163,29.735245,-95.169899,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
117,9159,29.716611,-95.194944,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
88,9127,29.958334,-95.238334,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
78,9117,29.76777,-95.33166,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
84,9123,29.789722,-95.269444,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
76,9115,29.7625,-95.171389,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
75,9114,29.753595,-95.278458,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
74,9113,29.751739,-95.351298,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
32,9067,29.8796,-95.0739,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
59,9097,29.5559,-95.4419,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
73,9111,29.669,-95.372,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
72,9110,29.797693,-95.21108,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
71,9109,29.643956,-95.407658,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
26,9061,29.834444,-95.104167,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
77,9116,29.722222,-95.233333,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
45,9083,29.722222,-95.116389,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
27,9062,29.818522,-95.126783,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
44,9081,29.720194,-95.113333,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
62,9100,29.73575,-95.222733,1,130956797,152063705,232,48201,1.493544514,Medium,5191887.816912566,35.35430922060766,309703.74877252313,13967639.069640793
64,9102,32.301231,-97.787659,1,130956797,152063705,232,48425,1.565270196,Medium,5441221.995468924,35.35430922060766,309703.74877252313,13967639.069640793
33,9069,32.765335,-96.800463,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
36,9072,32.744603,-96.965072,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
35,9071,32.6889,-96.7296,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
43,9080,32.7388,-96.98243,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
42,9079,32.812656,-96.842743,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
37,9074,32.790571,-96.810466,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
41,9078,32.680834,-96.630001,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
38,9075,32.715541,-96.68755,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
34,9070,32.712289,-96.856592,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
40,9077,32.77694,-96.8725,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
39,9076,32.684168,-96.718334,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
65,9103,32.77166,-96.95,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
91,9130,32.7839,-96.9389,1,130956797,152063705,232,48113,1.600815667,Medium,5564785.837123073,35.35430922060766,309703.74877252313,13967639.069640793
55,9093,28.986111,-95.407778,1,130956797,152063705,232,48039,1.630648472,Medium,5668491.200687368,35.35430922060766,309703.74877252313,13967639.069640793
9,9041,29.231944,-95.188889,1,130956797,152063705,232,48039,1.630648472,Medium,5668491.200687368,35.35430922060766,309703.74877252313,13967639.069640793
11,9044,29.090834,-95.36,1,130956797,152063705,232,48039,1.630648472,Medium,5668491.200687368,35.35430922060766,309703.74877252313,13967639.069640793
12,9045,29.473984,-95.449242,1,130956797,152063705,232,48039,1.630648472,Medium,5668491.200687368,35.35430922060766,309703.74877252313,13967639.069640793
57,9095,28.969389,-95.379528,1,130956797,152063705,232,48039,1.630648472,Medium,5668491.200687368,35.35430922060766,309703.74877252313,13967639.069640793
114,9155,29.075556,-95.744722,1,130956797,304127410,232,48039,1.630648472,Large,8502736.801031053,70.70861844121532,619407.4975450463,27935278.139281586
56,9094,28.933403,-95.336403,1,130956797,304127410,232,48039,1.630648472,Large,8502736.801031053,70.70861844121532,619407.4975450463,27935278.139281586
58,9096,28.973056,-95.3425,1,130956797,304127410,232,48039,1.630648472,Large,8502736.801031053,70.70861844121532,619407.4975450463,27935278.139281586
6,546,29.575785,-98.029915,1,130956797,304127410,232,48187,1.641439062,Large,8559002.481999867,70.70861844121532,619407.4975450463,27935278.139281586
137,9182,29.611464,-95.013641,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
151,9198,29.378889,-94.941389,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
144,9189,29.379167,-94.929167,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
17,9050,29.705,-95.015556,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
16,9049,29.741944,-95.026667,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
145,9190,29.349676,-94.929268,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
146,9192,29.424722,-94.966389,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
147,9193,29.33305,-94.90277,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
148,9194,29.381944,-94.893333,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
10,9043,29.424167,-95.190834,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
149,9195,29.35666,-94.94166,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
7,9039,29.3881,-95.0559,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
150,9197,29.360344,-94.907173,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
18,9051,29.671667,-94.916667,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
122,9164,29.6325,-95.0414,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
124,9166,29.625384,-95.051502,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
120,9162,29.625,-95.063333,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
119,9161,29.646167,-95.048,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
118,9160,29.639444,-95.062778,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
81,9120,29.562763,-95.091797,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
48,9086,29.4424,-95.0346,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
96,9135,29.699722,-95.046432,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
60,9098,29.57,-95.20333,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
98,9137,29.713611,-95.066944,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
126,9168,29.43099,-95.12415,1,130956797,304127410,232,48167,1.654133873,Large,8625197.396799281,70.70861844121532,619407.4975450463,27935278.139281586
28,9063,30.58227,-96.25317,1,130956797,304127410,232,48041,1.655403354,Large,8631816.888,70.70861844121532,619407.4975450463,27935278.139281586
68,9106,32.7887,-97.2389,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
66,9104,32.720356,-97.038517,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
90,9129,32.808764,-97.160093,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
13,9046,32.8,-97.108334,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
105,9146,32.563183,-97.1416926,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
54,9092,32.769958,-97.433907,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
53,9091,32.82532,-97.52565,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
52,9090,32.77778,-97.45,1,130956797,304127410,232,48439,1.709991041,Large,8916455.019830968,70.70861844121532,619407.4975450463,27935278.139281586
109,9150,32.4422,-97.0161,1,130956797,304127410,232,48139,1.750614436,Large,9128278.746146226,70.70861844121532,619407.4975450463,27935278.139281586
51,9089,32.549,-96.68,1,130956797,304127410,232,48139,1.750614436,Large,9128278.746146226,70.70861844121532,619407.4975450463,27935278.139281586
14,9047,32.211517,-96.792923,1,130956797,304127410,232,48139,1.750614436,Large,9128278.746146226,70.70861844121532,619407.4975450463,27935278.139281586
108,9149,32.458149,-97.035713,1,130956797,304127410,232,48139,1.750614436,Large,9128278.746146226,70.70861844121532,619407.4975450463,27935278.139281586
15,9048,29.756582,-94.904278,1,130956797,304127410,232,48071,1.772195615,Large,9240810.102869527,70.70861844121532,619407.4975450463,27935278.139281586
29,9064,30.31874,-95.43542,1,130956797,304127410,232,48339,1.862963514,Large,9714103.745510347,70.70861844121532,619407.4975450463,27935278.139281586
30,9065,30.315556,-95.384722,1,130956797,304127410,232,48339,1.862963514,Large,9714103.745510347,70.70861844121532,619407.4975450463,27935278.139281586
31,9066,30.2366824,-95.4661326,1,130956797,304127410,232,48339,1.862963514,Large,9714103.745510347,70.70861844121532,619407.4975450463,27935278.139281586
155,9203,32.716,-97.8585,1,130956797,304127410,232,48367,1.97404311,Large,10293309.248701636,70.70861844121532,619407.4975450463,27935278.139281586
70,9108,29.625389,-95.604711,1,130956797,304127410,232,48157,2.092104852,Large,10908921.95477188,70.70861844121532,619407.4975450463,27935278.139281586
135,9178,29.54,-95.8325,1,130956797,304127410,232,48157,2.092104852,Large,10908921.95477188,70.70861844121532,619407.4975450463,27935278.139281586
82,9121,29.72467,-95.639854,1,130956797,304127410,232,48157,2.092104852,Large,10908921.95477188,70.70861844121532,619407.4975450463,27935278.139281586
136,9180,32.959,-96.543,1,130956797,304127410,232,48397,2.307281899,Large,12030925.763489822,70.70861844121532,619407.4975450463,27935278.139281586
63,9101,32.935001,-96.583334,1,130956797,304127410,232,48397,2.307281899,Large,12030925.763489822,70.70861844121532,619407.4975450463,27935278.139281586
46,9084,33.190001,-97.075834,1,130956797,304127410,232,48121,2.392971873,Large,12477741.43708228,70.70861844121532,619407.4975450463,27935278.139281586
100,9141,33.01615,-96.96316,1,130956797,304127410,232,48121,2.392971873,Large,12477741.43708228,70.70861844121532,619407.4975450463,27935278.139281586
107,9148,33.1732,-96.613263,1,130956797,304127410,232,48085,2.6094184,Large,13606364.73,70.70861844121532,619407.4975450463,27935278.139281586
61,9099,33.1425,-96.835,1,130956797,304127410,232,48085,2.6094184,Large,13606364.73,70.70861844121532,619407.4975450463,27935278.139281586
1,541,30.220353,-97.740436,1,130956797,304127410,232,48453,2.823325966,Large,14721749.04930383,70.70861844121532,619407.4975450463,27935278.139281586
